ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;REGION
202212;LFLW;AURILLAC;MT;2648;1276;1372;0;0;0;81;0;Auvergne-Rhône-Alpes
202212;LFLX;CHATEAUROUX-DEOLS;MT;2053;0;0;0;138,7;66,6;0;10;Centre-Val de Loire
202212;LFMK;CARCASSONNE-SALVAZA;MT;11340;5556;5784;0;0;0;87;0;Occitanie
202212;LFML;MARSEILLE-PROVENCE;MT;791087;380559;358840;3671;2597,2;2204,5;6431;623;Provence-Alpes-Côte d'Azur
202212;LFMN;NICE-COTE D'AZUR;MT;813360;402335;401628;1032;671,7;164,8;8485;83;Provence-Alpes-Côte d'Azur
202212;LFMP;PERPIGNAN-RIVESALTES;MT;33506;16727;16748;0;0;3,1;223;0;Occitanie
202212;LFMT;MONTPELLIER-MEDITERRANEE;MT;148052;72296;69735;179;319,2;265;1107;90;Occitanie
202212;LFMU;BEZIERS-VIAS;MT;7763;3901;3861;1;0;0;54;0;Occitanie
202212;LFOB;BEAUVAIS-TILLE;MT;392589;204677;187912;0;0;0;2390;0;Hauts-de-France
202212;LFOK;CHALONS-VATRY;MT;9878;1375;1547;0;407,5;288,2;28;60;Grand Est
202212;LFOT;TOURS-VAL DE LOIRE;MT;12221;6234;5987;0;0;0;89;0;Centre-Val de Loire
202212;LFPB;PARIS-LE BOURGET;MT;9545;4910;4635;0;0;0;4094;0;Île-de-France
202212;LFPG;PARIS-CHARLES DE GAULLE;MT;6971087;2545557;2541553;1077;100088,2;88201,8;31045;3694;Île-de-France
202212;LFPO;PARIS-ORLY;MT;2582523;1298735;1201801;104;4821,7;3366,6;16479;2;Île-de-France
202212;LFQQ;LILLE-LESQUIN;MT;133104;69030;63761;311;0,2;0;1034;4;Hauts-de-France
202212;LFRB;BREST-BRETAGNE;MT;61234;29990;30188;497;52,9;3;758;4;Bretagne
202212;LFRG;DEAUVILLE-NORMANDIE;MT;1531;652;655;224;0;0;64;0;Normandie
202212;LFRK;CAEN-CARPIQUET;MT;23025;11488;11537;0;0;0;282;0;Normandie
202212;LFRN;RENNES-ST-JACQUES;MT;68803;29858;30346;36;360,2;496,1;607;87;Bretagne
202212;LFRQ;QUIMPER-PLUGUFFAN;MT;1068;498;570;0;0;0;68;0;Bretagne
202212;LFRS;NANTES-ATLANTIQUE;MT;441042;218070;212434;617;450;542,1;3360;89;Pays de la Loire
202212;LFRZ;ST-NAZAIRE-MONTOIR;MT;16209;177;210;145;882,1;685,6;32;67;Pays de la Loire
202212;LFSB;BALE-MULHOUSE;MT;606517;292479;263656;0;2919,2;2119;4188;460;Grand Est
202212;LFSL;BRIVE-SOUILLAC;MT;5664;2839;2825;0;0;0;136;0;Nouvelle-Aquitaine
202212;LFST;STRASBOURG-ENTZHEIM;MT;109749;55278;53634;301;52,3;1,3;1030;12;Grand Est
202212;LFTH;TOULON-HYERES;MT;22333;10811;11522;0;0;0;289;0;Provence-Alpes-Côte d'Azur
202212;LFTW;NIMES-GARONS;MT;11307;5913;5394;0;0;0;80;0;Occitanie
202212;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2326;1042;1021;0;3,7;22,7;201;6;Saint-Pierre-et-Miquelon
202212;NLWF;FUTUNA;OM;1378;576;777;0;1,5;1;136;1;Wallis-et-Futuna
202212;NLWW;WALLIS-HIHIFO;OM;4604;2393;2053;0;2,6;13,2;160;1;Wallis-et-Futuna
202212;NTAA;TAHITI FAA'A;OM;74743;39545;33204;0;156;43,4;1566;80;Polynésie française
202212;NTAM;RIMATARA;OM;1112;295;526;266;0,4;2,1;28;0;Polynésie française
202212;NTAR;RURUTU;OM;3203;917;1404;805;0,9;6,8;73;1;Polynésie française
202212;NTAT;TUBUAI MATAURA;OM;3247;1068;1374;713;0,7;8,6;79;5;Polynésie française
202212;NTAV;RAIVAVAE;OM;1052;295;526;209;0,1;2,1;26;0;Polynésie française
202212;NTGC;TIKEHAU;OM;3931;1343;1589;947;0,3;4,8;92;0;Polynésie française
202212;NTGF;FAKARAVA;OM;3062;1256;1422;310;0,9;6,5;68;0;Polynésie française
202212;NTGJ;TOTEGEGIE;OM;1007;407;557;13;0,1;2,9;20;0;Inconnue
202212;NTGU;ARUTUA;OM;1084;330;564;144;0,3;4,3;28;0;Polynésie française
202212;NTGV;MATAIVA;OM;1056;372;496;166;0,1;2,2;22;0;Inconnue
202212;NTMD;NUKU HIVA;OM;4960;1930;2395;533;2,6;7,6;166;0;Polynésie française
202212;NTMN;HIVA OA-ATUONA;OM;3680;1253;1515;832;0,7;7,3;98;0;Polynésie française
202212;NTTB;BORA BORA;OM;26869;11986;12602;2026;3,7;21,8;670;2;Polynésie française
