ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
2019-02;LFCK;CASTRES-MAZAMET;MT;3619;1831;1788;0;0;0;116;0
2019-02;LFCR;RODEZ-AVEYRON;MT;3766;1883;1883;0;0;0;139;0
2019-02;LFGJ;DOLE-TAVAUX;MT;7849;3996;3853;0;0;0;50;0
2019-02;LFJL;METZ-NANCY-LORRAINE;MT;14233;7078;6938;217;0;0;371;0
2019-02;LFKB;BASTIA-PORETTA;MT;60745;28634;27024;0;135,3;373,4;581;98
2019-02;LFKC;CALVI-STE-CATHERINE;MT;8095;4191;3899;0;0;0,5;172;0
2019-02;LFKF;FIGARI-SUD-CORSE;MT;6756;3174;3582;0;0;0;136;0
2019-02;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;55982;26222;24807;83;128,4;358,5;554;69
2019-02;LFLB;CHAMBERY-AIX-LES-BAINS;MT;53617;27058;26256;3;29,8;0,2;1325;0
2019-02;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;30177;14281;13854;171;187,1;0,1;600;8
2019-02;LFLJ;COURCHEVEL;MT;1986;879;1107;0;0;0;985;0
2019-02;LFLL;LYON-ST-EXUPERY;MT;854299;415271;391461;3052;2209,7;2241,8;8078;348
2019-02;LFLS;GRENOBLE-ALPES-ISERE;MT;75799;38427;37345;27;0;0;1015;0
2019-02;LFLW;AURILLAC;MT;2642;1326;1316;0;0;0;84;0
2019-02;LFLY;LYON-BRON;MT;1210;594;616;0;0;0;380;0
2019-02;LFMK;CARCASSONNE-SALVAZA;MT;17527;8835;8692;0;0;0;128;0
2019-02;LFML;MARSEILLE-PROVENCE;MT;674458;314096;310248;4576;2280,4;2273,4;6059;574
2019-02;LFMN;NICE-COTE D'AZUR;MT;781070;379972;393870;1008;470,2;151,8;8197;32
2019-02;LFMP;PERPIGNAN-RIVESALTES;MT;25256;12508;12748;0;0;0;260;0
2019-02;LFMT;MONTPELLIER-MEDITERRANEE;MT;123862;59889;58816;34;244,2;268;1104;78
2019-02;LFMU;BEZIERS-VIAS;MT;5884;2938;2942;4;0;0;50;0
2019-02;LFOB;BEAUVAIS-TILLE;MT;271328;138094;133228;0;0;0,6;1645;0
2019-02;LFOK;CHALONS-VATRY;MT;5932;2880;2710;0;0,8;33,3;45;6
2019-02;LFOP;ROUEN-VALLEE DE SEINE;MT;1474;741;733;0;0;0;73;0
2019-02;LFOT;TOURS-VAL DE LOIRE;MT;12478;6451;6027;0;0;0;84;0
2019-02;LFPB;PARIS-LE BOURGET;MT;6547;3317;3230;0;0;0;3275;0
2019-02;LFPG;PARIS-CHARLES DE GAULLE;MT;6691046;2620502;2462070;2370;85320,6;75289,8;32366;2383
2019-02;LFPO;PARIS-ORLY;MT;2286270;1135837;1075943;159;4971,8;2461,3;15322;0
2019-02;LFQQ;LILLE-LESQUIN;MT;117804;58788;58326;683;0,7;0;1349;0
2019-02;LFRB;BREST-BRETAGNE;MT;81173;38868;41168;772;17;19,5;1021;39
2019-02;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;3654;2065;1589;0;0;0;28;0
2019-02;LFRG;DEAUVILLE-NORMANDIE;MT;2121;954;907;260;0;0;40;0
2019-02;LFRH;LORIENT-LANN-BIHOUE;MT;7592;3782;3810;0;0;0;270;0
2019-02;LFRK;CAEN-CARPIQUET;MT;17174;8579;8595;0;0;0;394;0
2019-02;LFRN;RENNES-ST-JACQUES;MT;62466;28295;28137;4;243;360,1;956;98
2019-02;LFRQ;QUIMPER-PLUGUFFAN;MT;5648;2701;2947;0;0;0;141;0
2019-02;LFRS;NANTES-ATLANTIQUE;MT;403640;198045;195688;3378;265;387,9;3789;72
2019-02;LFRZ;ST-NAZAIRE-MONTOIR;MT;17049;515;547;138;1017,7;567,2;65;76
2019-02;LFSB;BALE-MULHOUSE;MT;599210;280899;269562;67;2941,2;1927;4679;409
2019-02;LFSL;BRIVE-SOUILLAC;MT;3608;1796;1812;0;0;0;121;0
2019-02;LFST;STRASBOURG-ENTZHEIM;MT;73870;36447;37225;156;2;2,3;1206;0
2019-02;LFTH;TOULON-HYERES;MT;32352;15580;16772;0;0;0;489;0
2019-02;LFTW;NIMES-GARONS;MT;13208;6689;6519;0;0;0;90;0
2019-02;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2987;1522;1304;0;2;14,1;208;0
2019-02;NLWW;WALLIS-HIHIFO;OM;3507;1509;1840;0;2,4;13,3;112;3
2019-02;NTAA;TAHITI FAA'A;OM;105402;47126;47909;99;394,5;632,3;1453;1
2019-02;NTAR;RURUTU;OM;1520;572;513;396;0,2;3,7;40;0
2019-02;NTAT;TUBUAI MATAURA;OM;1651;595;673;327;0,8;4,8;36;0
2019-02;NTGC;TIKEHAU;OM;2701;713;746;1207;0,4;3,1;80;0
2019-02;NTGF;FAKARAVA;OM;1825;709;798;280;0,2;3,6;50;0
2019-02;NTMD;NUKU HIVA;OM;3038;1263;1274;416;2,9;5,6;130;0
2019-02;NTMN;HIVA OA-ATUONA;OM;2269;914;907;384;0,8;5,7;88;0
2019-02;NTTB;BORA BORA;OM;20537;9305;9494;1592;2,8;11,8;488;1
2019-02;NTTG;RANGIROA;OM;4974;1950;1968;928;5,8;6,9;140;0
2019-02;NTTH;HUAHINE;OM;9440;3377;3401;2565;4,3;5,4;234;0
2019-02;NTTM;MOOREA;OM;3965;1874;1069;1013;0,1;0,8;148;0
2019-02;NTTO;HAO;OM;1072;325;302;406;0,6;3,3;44;0
2019-02;NTTP;MAUPITI;OM;1583;746;793;1;0;4,3;58;0
2019-02;NTTR;RAIATEA;OM;16870;6932;6944;2812;5,7;12,5;416;2
2019-02;NWWE;ILE DES PINS;OM;8262;4042;4008;0;3,6;17,6;192;0
2019-02;NWWL;LIFOU;OM;13555;6921;6168;0;10,6;36;426;0
2019-02;NWWM;NOUMEA MAGENTA;OM;35022;15422;18411;0;91;27,9;923;2
2019-02;NWWR;MARE;OM;7070;3750;3031;0;7,7;21,2;232;0
2019-02;NWWV;OUVEA;OM;6792;3588;2996;0;5,6;15,3;214;0
2019-02;NWWW;NOUMEA LA TONTOUTA;OM;45824;17566;24965;0;63,3;266;318;2
2019-02;SOCA;CAYENNE-FELIX EBOUE;OM;45439;22060;20945;0;62,8;180,6;603;24
2019-02;SOOA;MARIPASOULA;OM;3038;1220;1187;465;0;16,6;290;18
2019-02;TFFF;MARTINIQUE-AIME CESAIRE;OM;216414;102905;97792;5141;292,1;765,6;1591;67
2019-02;TFFG;ST-MARTIN-GRAND-CASE;OM;14546;6899;7322;4;16,2;15,9;534;58
2019-02;TFFJ;ST-BARTHELEMY;OM;17880;9003;8605;0;7,3;19,8;3091;119
2019-02;TFFR;POINTE-A-PITRE-LE RAIZET;OM;249556;119398;114926;3949;312;816,3;2211;53
2019-02;ZZMT; AUTRES APT (MT);MT;6170;2860;2749;24;49,5;4,2;1267;5
2019-02;ZZOM; AUTRES APT (OM);OM;14803;5180;5032;4148;4,2;39,7;1169;10
2019-03;FMCZ;MAYOTTE-MARCEL HENRY;OM;32201;13525;15791;200;30,3;238,2;345;0
2019-03;FMEE;LA REUNION-ROLAND GARROS;OM;211066;93877;86607;2520;624,3;2181,9;1019;20
2019-03;FMEP;ST-PIERRE-PIERREFONDS;OM;7573;3776;3794;0;0;0,3;156;0
2019-03;LFAQ;ALBERT-BRAY;MT;1953;112;118;0;103,5;68,8;35;17
2019-03;LFBA;AGEN-LA GARENNE;MT;1432;731;701;0;0;0;105;0
2019-03;LFBD;BORDEAUX-MERIGNAC;MT;510809;240264;253816;2575;580,7;834,6;4424;135
2019-03;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;8680;4214;4466;0;0;0;116;0
2019-03;LFBH;LA ROCHELLE-ILE DE RE;MT;6781;3228;3552;1;0;0;165;0
2019-03;LFBI;POITIERS-BIARD;MT;7287;2589;2664;2034;0;0;204;0
2019-03;LFBL;LIMOGES-BELLEGARDE;MT;18423;9148;9234;41;0;0;286;0
2019-03;LFBO;TOULOUSE-BLAGNAC;MT;877429;394363;416388;1494;2376,8;4141,6;6951;508
2019-03;LFBP;PAU-PYRENEES;MT;55668;27080;27669;4;81,9;9,7;828;8
2019-03;LFBT;TARBES-LOURDES-PYRENEES;MT;14873;7497;7376;0;0;0;186;0
2019-03;LFBZ;BIARRITZ-PAYS-BASQUE;MT;63893;31782;32111;0;0;0;646;0
2019-03;LFCK;CASTRES-MAZAMET;MT;4719;2351;2368;0;0;0;141;0
2019-03;LFCR;RODEZ-AVEYRON;MT;4282;2114;2168;0;0;0;152;0
2019-03;LFGJ;DOLE-TAVAUX;MT;8557;4277;4231;49;0;0;64;0
2019-03;LFJL;METZ-NANCY-LORRAINE;MT;15557;7627;7760;170;0;0;406;0
2019-03;LFKB;BASTIA-PORETTA;MT;77394;33848;38321;0;118,8;403,8;664;109
2019-03;LFKC;CALVI-STE-CATHERINE;MT;10412;4770;5637;0;0;0,5;205;0
2019-03;LFKF;FIGARI-SUD-CORSE;MT;3425;1460;1965;0;0;0;60;0
2019-03;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;72201;31392;35003;0;160;420,6;663;81
2019-03;LFLB;CHAMBERY-AIX-LES-BAINS;MT;56628;28713;27565;1;34,9;0;1594;0
2019-03;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;36093;16976;17581;266;127;0,1;742;10
2019-03;LFLJ;COURCHEVEL;MT;1959;944;1015;0;0;0;980;0
2019-03;LFLL;LYON-ST-EXUPERY;MT;1004516;469253;482160;4560;2308,5;2545,8;9276;312
2019-03;LFLS;GRENOBLE-ALPES-ISERE;MT;88549;44510;44027;12;0;0;929;0
2019-03;LFLW;AURILLAC;MT;3258;1681;1577;0;0;0;98;0
2019-03;LFMK;CARCASSONNE-SALVAZA;MT;21441;10588;10853;0;0;0;141;0
2019-03;LFML;MARSEILLE-PROVENCE;MT;779258;357525;363684;4424;2569,7;2792,8;6819;613
2019-03;LFMN;NICE-COTE D'AZUR;MT;990734;490440;489427;1568;587,6;342,3;10854;34
2019-03;LFMP;PERPIGNAN-RIVESALTES;MT;28984;14448;14536;0;0;0;301;0
2019-03;LFMT;MONTPELLIER-MEDITERRANEE;MT;149208;69731;73916;0;275,3;280,9;1299;86
